id,video,homography_matrix,upleft_x,upright_x,downleft_x,downright_x,upleft_y,upright_y,downleft_y,downright_y
23,Ng_Ka_Long_Angus_Lee_Cheuk_Yiu_YONEX_Thailand_Open_2021_QuarterFinals,"[[1.2049765445361083, 0.4712532186619585, -588.0864448025472], [-0.022499188132429987, 5.655248235276021, -1428.9125669559749], [-2.656611636133803e-05, 0.002771542520349543, 1.0]]",411.2,864.0,295.2,990.8,302.8,304.4,656.6,656.8
24,Anthony_Sinisuka_Ginting_Rasmus_Gemke_YONEX_Thailand_Open_2021_QuarterFinals,"[[1.2127348915472842, 0.4724871702826476, -591.308280335244], [-0.02487296478672235, 5.6941586133894075, -1442.9978959427135], [-2.5826753017045172e-05, 0.002791443230716878, 1.0]]",410.8,863.0,295.6,990.4,303.6,305.4,656.6,657.4
25,Carolina_Marin_Supanida_Katethong_YONEX_Thailand_Open_2021_QuarterFinals,"[[1.2027404432796367, 0.4651922410687205, -584.7889323792906], [-0.029594286746304207, 5.633025283764807, -1423.437728913039], [-2.805187837207046e-05, 0.0027511203325088157, 1.0]]",410.4,862.8,296.0,989.6,303.4,305.6,656.6,658.0
26,Viktor_Axelsen_Jonatan_Christie_YONEX_Thailand_Open_2021_QuarterFinals,"[[1.2281615994201802, 0.5007529112054755, -608.0146919698522], [-0.004669709313989736, 5.717743425891395, -1447.3340488904664], [-1.546309742847567e-05, 0.002835614670238587, 1.0]]",413.2,863.6,290.2,987.0,302.0,302.2,659.2,657.6
27,Viktor_Axelsen_Anthony_Sinisuka_Ginting_YONEX_Thailand_Open_2021_SemiFinals,"[[1.2454713360219938, 0.5086861333343398, -616.7379978086947], [0.017899391044319535, 5.78722378892984, -1480.2094549869073], [8.602641647220215e-06, 0.0028640753448057883, 1.0]]",412.6,864.2,289.4,987.2,303.0,301.6,659.6,657.4
28,Viktor_Axelsen_Ng_Ka_Long_Angus_YONEX_Thailand_Open_2021_Finals,"[[1.256324959084942, 0.5102673740078231, -620.6643892427129], [0.024314393680928605, 5.82004851231856, -1488.689084549675], [1.8973395416193806e-05, 0.002892859641643104, 1.0]]",412.2,863.8,289.4,989.0,302.6,300.8,660.4,658.6
29,An_Se_Young_Pornpawee_Chochuwong_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,"[[1.26357219771513, 0.5154558602943657, -629.3771848119661], [0.024463806482716063, 5.858819486256212, -1515.1921525346988], [1.9051562461376703e-05, 0.0029043693616268946, 1.0]]",414.6,866.4,291.4,990.2,305.4,303.6,662.4,660.6
30,Anders_Antonsen_Sameer_Verma_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,"[[1.257624734441973, 0.49084565365461913, -617.7234025722247], [-0.025535014153959913, 5.8818360940473875, -1527.2306621717835], [-2.3854683065695754e-05, 0.0028781805053113155, 1.0]]",411.4,858.2,297.0,982.8,309.4,311.2,658.8,660.0
31,Carolina_Marin_Neslihan_Yigit_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,"[[1.27195548680162, 0.5017220685305571, -626.385701740138], [-0.023145403325115704, 5.975034593110787, -1556.4611968292013], [-2.211319029168089e-05, 0.002936324480879131, 1.0]]",411.2,857.8,295.8,983.0,309.8,311.4,658.4,659.4
32,Hans-Kristian_Solberg_Vittinghus_Lee_Cheuk_Yu_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,"[[1.2633881897866304, 0.5190861670997394, -629.5791903212639], [0.01590793054746185, 5.879315442167452, -1514.9034793221263], [9.78473850831535e-06, 0.0029348386833305453, 1.0]]",414.2,866.2,289.8,991.8,305.0,303.8,663.2,661.6
33,Viktor_Axelsen_Liew_Daren_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,"[[1.2485264164015892, 0.5150839451348136, -622.8160612441288], [0.006969073228492832, 5.822141176341662, -1495.1543169938072], [-1.1957046250649602e-06, 0.0028958125850157028, 1.0]]",414.4,866.6,289.6,990.4,304.8,304.2,662.4,660.8
34,Ratchanok_Intanon_Pusarla_V._Sindhu_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,"[[1.2486644860735727, 0.4900997077843735, -614.0480478657073], [-0.03142213006364037, 5.884403454191261, -1524.2720989017657], [-4.645019570152984e-05, 0.002889817790722042, 1.0]]",411.6,857.4,296.8,982.4,309.0,311.0,658.2,657.0
35,Carolina_Marin_An_Se_Young_TOYOTA_THAILAND_OPEN_2021_SemiFinals,"[[1.2555533540354815, 0.5163205104811943, -626.1267348551839], [0.021135101417604076, 5.82075604626535, -1498.7525810726727], [1.3831857130409102e-05, 0.0028923649842115423, 1.0]]",414.6,866.8,289.8,990.2,304.6,303.0,663.0,661.0
36,Hans-Kristian_Solberg_Vittinghus_Anders_Antonsen_TOYOTA_THAILAND_OPEN_2021_SemiFinals,"[[1.2458258500961155, 0.5116445855703554, -619.8921895784808], [0.008980761297971292, 5.812964433975632, -1489.9671331684328], [-3.5325730093177078e-06, 0.0028988412572262057, 1.0]]",414.0,866.4,289.6,991.8,304.2,303.4,662.8,660.4
37,Viktor_Axelsen_Hans-Kristian_Solberg_VIittinghus_TOYOTA_THAILAND_OPEN_2021_Finals,"[[1.267489275315501, 0.5158202899821954, -629.3449903680307], [0.038230108410832804, 5.868851873962166, -1525.1661515513065], [3.110620917708346e-05, 0.0029081621600676347, 1.0]]",413.2,866.4,290.0,990.8,305.8,303.0,663.6,661.0
38,Carolina_Marin_An_Se_Young_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,"[[1.2386677191975748, 0.5044181027592145, -614.9361953460232], [0.008686309647404574, 5.778278563976227, -1482.9815340656733], [-5.115075334415229e-06, 0.0028670177137528553, 1.0]]",413.8,866.4,290.8,991.2,304.6,303.8,662.4,659.8
39,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,"[[1.2181960812875399, 0.4785742535078147, -596.0295541494885], [-0.024038194971610832, 5.717077501531219, -1461.2794663739778], [-3.462006018968606e-05, 0.002794974247235092, 1.0]]",410.6,860.4,294.6,984.6,305.6,307.2,657.4,656.6
40,Evgeniya_Kosetskaya_Michelle_Li_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,"[[1.2255060424026853, 0.47696298241390145, -596.5727254235107], [-0.013529510657216252, 5.730742851517786, -1471.0121338775978], [-1.1727423403559351e-05, 0.00278390166130396, 1.0]]",409.0,860.4,294.4,984.4,306.0,307.0,656.6,657.4
41,Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,"[[1.2333335968084074, 0.48512282444149046, -603.7154132921111], [-0.02542777719466385, 5.782625734941326, -1477.2089273775778], [-2.6409605506579783e-05, 0.002837608795262587, 1.0]]",410.6,859.8,294.6,985.2,305.4,307.2,656.8,657.6
42,Pusarla_V._Sindhu_Pornpawee_Chochuwong_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,"[[1.2525753835625857, 0.5103194777517027, -622.5549695124088], [0.025375537287164854, 5.817461793362739, -1502.0283246187075], [1.048540549660237e-05, 0.0028885650516388005, 1.0]]",414.0,866.4,290.6,991.0,305.0,303.0,663.4,660.0
43,Carolina_Marin_Pornpawee_Chochuwong_HSBC_BWF_WORLD_TOUR_FINALS_2020_SemiFinals,"[[1.2748402289006995, 0.5171886249928548, -632.5791638152884], [0.028723485952944976, 5.900302703570793, -1526.410873662765], [3.0495751613673334e-05, 0.002934574723728483, 1.0]]",413.4,865.6,290.8,991.6,305.2,303.2,662.8,662.0
44,Anders_Antonsen_Viktor_Axelsen_HSBC_BWF_WORLD_TOUR_FINALS_2020_Finals,"[[1.243457179750565, 0.5045446917659319, -617.4505970304539], [0.01693954306980188, 5.76717987415123, -1483.0039542751447], [2.595816357640083e-06, 0.0028569523192686773, 1.0]]",414.2,865.8,291.4,989.6,304.6,303.2,662.8,659.8
