rally,ball_round,roundscore_A,roundscore_B,player,type,backhand,landing_x,landing_y,getpoint_player,flaw,set,match_id,rally_id
2,17,0,2,Viktor AXELSEN,接殺防守,1,-1.12469328117199,-0.884315615198858,,,1,49,2219
2,18,0,2,Kento MOMOTA,接殺防守,1,-1.24337277178784,0.611080825126906,,,1,49,2219
2,19,0,2,Viktor AXELSEN,挑球,1,-0.953119096491743,-1.33068086104367,,,1,49,2219
2,20,0,2,Kento MOMOTA,切球,0,-1.19693625794437,1.09376899270774,,,1,49,2219
2,21,0,2,Viktor AXELSEN,網前球,1,-0.839536567596802,-0.346344680135356,,,1,49,2219
2,22,0,2,Kento MOMOTA,網前球,1,-1.43002704489827,0.279740301909279,,,1,49,2219
2,23,0,2,Viktor AXELSEN,挑球,1,1.15100200785098,-1.51029444995992,,,1,49,2219
2,24,0,2,Kento MOMOTA,長球,0,0.885817377625545,1.48556453907893,,,1,49,2219
2,25,0,2,Viktor AXELSEN,殺球,0,-1.01187090759993,-0.871735225939807,,,1,49,2219
2,26,0,2,Kento MOMOTA,接殺防守,1,-0.861915754452981,0.524356930740682,,,1,49,2219
2,27,0,2,Viktor AXELSEN,網前球,1,1.46887293943651,-0.305149821249831,B,,1,49,2219
4,1,1,3,Viktor AXELSEN,推撲球,1,1.22520949592486,-1.54031374693479,,,1,49,2221
4,2,1,3,Kento MOMOTA,切球,0,1.29854000322212,0.727026857628211,,,1,49,2221
4,3,1,3,Viktor AXELSEN,網前球,0,1.25177239431006,-0.532780593456311,,,1,49,2221
4,4,1,3,Kento MOMOTA,推撲球,0,1.20165305468353,1.45968379802219,,,1,49,2221
4,5,1,3,Viktor AXELSEN,切球,0,-0.990432762534522,-0.588247205540311,,,1,49,2221
4,6,1,3,Kento MOMOTA,網前球,1,-1.08926597002854,0.212937298525466,,,1,49,2221
4,7,1,3,Viktor AXELSEN,挑球,1,0.68992210680492,-1.46482422557411,,,1,49,2221
4,8,1,3,Kento MOMOTA,長球,0,1.21959436438103,1.38723928036303,,,1,49,2221
4,9,1,3,Viktor AXELSEN,殺球,0,1.45231693915568,-1.22331308835787,B,,1,49,2221
9,1,2,7,Viktor AXELSEN,發短球,1,0.32531848782145,-0.554838610027994,,,1,49,2226
9,2,2,7,Kento MOMOTA,推撲球,1,0.982262284411964,1.58688962111237,,,1,49,2226
9,3,2,7,Viktor AXELSEN,長球,0,0.909932176439398,-1.49487554260721,,,1,49,2226
9,4,2,7,Kento MOMOTA,殺球,0,1.36424682034601,1.08575463001428,,,1,49,2226
9,5,2,7,Viktor AXELSEN,接殺防守,0,1.17351381273888,-0.462850643900709,,,1,49,2226
9,6,2,7,Kento MOMOTA,挑球,0,1.12124850203915,1.46617692566807,,,1,49,2226
9,7,2,7,Viktor AXELSEN,殺球,0,1.3294992829107,-1.1267685961035,,,1,49,2226
9,8,2,7,Kento MOMOTA,接殺防守,0,1.09790866273962,0.549158674191693,,,1,49,2226
9,9,2,7,Viktor AXELSEN,網前球,0,1.25341818685904,-0.206568952544291,,,1,49,2226
9,10,2,7,Kento MOMOTA,網前球,0,1.11274468470706,1.62399716832034,,,1,49,2226
9,11,2,7,Viktor AXELSEN,切球,0,-1.20112388886717,-0.39077379247237,,,1,49,2226
9,12,2,7,Kento MOMOTA,推撲球,1,-1.26100374609433,1.13749824899867,,,1,49,2226
9,13,2,7,Viktor AXELSEN,長球,1,-0.724944854013575,-1.46148475105005,,,1,49,2226
9,14,2,7,Kento MOMOTA,殺球,0,-1.04234255373931,1.1010598154306,,,1,49,2226
9,15,2,7,Viktor AXELSEN,接殺防守,1,-1.16659940599713,-0.587958115003179,,,1,49,2226
9,16,2,7,Kento MOMOTA,網前球,1,-1.14687776967823,0.298243533965994,,,1,49,2226
9,17,2,7,Viktor AXELSEN,挑球,1,1.07266742889145,-1.56998579285127,,,1,49,2226
9,18,2,7,Kento MOMOTA,切球,0,0.869148511450963,0.618239790129709,,,1,49,2226
9,19,2,7,Viktor AXELSEN,推撲球,0,1.00020223570818,-1.55476313986954,,,1,49,2226
9,20,2,7,Kento MOMOTA,長球,0,0.986316125115669,1.36717317005783,,,1,49,2226
9,21,2,7,Viktor AXELSEN,殺球,0,1.0951279017395,-0.966248259571464,,,1,49,2226
9,22,2,7,Kento MOMOTA,接殺防守,0,0.589862599510581,0.398237520318253,,,1,49,2226
9,23,2,7,Viktor AXELSEN,挑球,0,1.14027542426977,-1.54010809220106,,,1,49,2226
9,24,2,7,Kento MOMOTA,長球,0,0.960267425052337,1.54931194841075,,,1,49,2226
9,25,2,7,Viktor AXELSEN,殺球,0,-0.853803766036425,-0.859276980301883,,,1,49,2226
9,26,2,7,Kento MOMOTA,接殺防守,1,-1.40034724308502,0.507188489912869,A,,1,49,2226
10,1,3,7,Kento MOMOTA,發短球,1,0.421886663681921,0.461477258369062,,,1,49,2227
10,2,3,7,Viktor AXELSEN,挑球,1,1.20743241515584,-1.51042970195986,,,1,49,2227
10,3,3,7,Kento MOMOTA,切球,0,1.16360265692782,0.848564795475725,,,1,49,2227
10,4,3,7,Viktor AXELSEN,網前球,0,0.984489095849459,-0.271431109999579,,,1,49,2227
10,5,3,7,Kento MOMOTA,網前球,0,1.33234287320127,0.248785919373091,,,1,49,2227
10,6,3,7,Viktor AXELSEN,推撲球,0,0.872635771750952,-1.55445268333363,,,1,49,2227
10,7,3,7,Kento MOMOTA,切球,0,-0.95560755013912,0.610893038171508,,,1,49,2227
10,8,3,7,Viktor AXELSEN,網前球,1,-0.632463241730562,-0.471608732206644,,,1,49,2227
10,9,3,7,Kento MOMOTA,推撲球,1,0.981408651673277,1.53033973007202,,,1,49,2227
10,10,3,7,Viktor AXELSEN,殺球,0,1.22180968602939,-1.18128703185394,,,1,49,2227
10,11,3,7,Kento MOMOTA,接殺防守,0,0.938967412634662,0.28695838810936,,,1,49,2227
10,12,3,7,Viktor AXELSEN,挑球,0,-0.929608289741502,-1.47572044135759,,,1,49,2227
10,13,3,7,Kento MOMOTA,長球,0,0.898102719611257,1.63621097478892,,,1,49,2227
10,14,3,7,Viktor AXELSEN,長球,0,0.653000744668494,-1.55391816095558,,,1,49,2227
10,15,3,7,Kento MOMOTA,長球,0,-1.13591680089618,1.45957402435524,,,1,49,2227
10,16,3,7,Viktor AXELSEN,長球,0,-0.920990885293002,-1.5201973905509,,,1,49,2227
10,17,3,7,Kento MOMOTA,切球,0,0.886127813147263,0.840736248743536,,,1,49,2227
10,18,3,7,Viktor AXELSEN,網前球,0,1.44568758529241,-0.38337506484459,,,1,49,2227
10,19,3,7,Kento MOMOTA,挑球,0,1.04377759725213,1.63011846101141,,,1,49,2227
10,20,3,7,Viktor AXELSEN,切球,0,-1.14814013672537,-0.552463806742103,,,1,49,2227
10,21,3,7,Kento MOMOTA,網前球,1,-1.32631730352062,0.372457878888002,,,1,49,2227
10,22,3,7,Viktor AXELSEN,挑球,1,0.913842589644104,-1.5395598200718,,,1,49,2227
10,23,3,7,Kento MOMOTA,長球,0,1.10644919327633,1.66060187052857,,,1,49,2227
10,24,3,7,Viktor AXELSEN,接殺防守,0,-0.541356956283116,-0.636880515948041,,,1,49,2227
10,25,3,7,Kento MOMOTA,殺球,0,-0.846166282161665,1.41377243738884,A,,1,49,2227
11,1,4,7,Kento MOMOTA,發短球,1,-0.613911792461764,0.567703509619534,,,1,49,2228
11,2,4,7,Viktor AXELSEN,推撲球,1,-1.32587419307105,-1.41622087083753,,,1,49,2228
11,3,4,7,Kento MOMOTA,切球,1,-0.943549951875092,0.619409965912221,,,1,49,2228
11,4,4,7,Viktor AXELSEN,網前球,1,0.835081708536888,-0.497067162748014,,,1,49,2228
11,5,4,7,Kento MOMOTA,網前球,0,0.955786756632438,0.286942945617919,,,1,49,2228
11,6,4,7,Viktor AXELSEN,推撲球,0,1.1439485753812,-1.51027754434301,,,1,49,2228
11,7,4,7,Kento MOMOTA,切球,0,1.22128961092586,0.90369163242691,,,1,49,2228
11,8,4,7,Viktor AXELSEN,網前球,0,1.18595142172171,-0.509267324107125,,,1,49,2228
11,9,4,7,Kento MOMOTA,網前球,0,1.45269649902116,0.415687605937986,,,1,49,2228
11,10,4,7,Viktor AXELSEN,網前球,0,1.39692326871194,-0.132058993280855,,,1,49,2228
11,11,4,7,Kento MOMOTA,挑球,0,1.08141421747126,1.45316687614293,,,1,49,2228
11,12,4,7,Viktor AXELSEN,殺球,0,1.41982062200188,-1.09984622848984,,,1,49,2228
11,13,4,7,Kento MOMOTA,接殺防守,0,1.2574184838045,0.397685586654507,,,1,49,2228
11,14,4,7,Viktor AXELSEN,網前球,0,1.34178397547904,-0.195922735077634,,,1,49,2228
11,15,4,7,Kento MOMOTA,挑球,0,0.965031747340266,1.6423306737249,,,1,49,2228
11,16,4,7,Viktor AXELSEN,切球,0,-1.13416066520337,-0.505617594717127,,,1,49,2228
11,17,4,7,Kento MOMOTA,網前球,1,-1.28807924385203,0.317034538872501,,,1,49,2228
11,18,4,7,Viktor AXELSEN,挑球,1,-1.24937515437236,-1.41639866408657,,,1,49,2228
11,19,4,7,Kento MOMOTA,切球,0,-1.06512958587404,0.849580814864399,,,1,49,2228
11,20,4,7,Viktor AXELSEN,網前球,1,1.08156763785378,-0.371564843050307,,,1,49,2228
11,21,4,7,Kento MOMOTA,網前球,0,1.23443200407007,0.333377931474912,,,1,49,2228
11,22,4,7,Viktor AXELSEN,推撲球,0,1.03664276275646,-1.49517769400149,,,1,49,2228
11,23,4,7,Kento MOMOTA,長球,0,1.15340904942207,1.59933268784487,,,1,49,2228
11,24,4,7,Viktor AXELSEN,長球,0,1.30929923602813,-1.48103203950712,,,1,49,2228
11,25,4,7,Kento MOMOTA,長球,0,1.40743959173051,1.62405085244921,,,1,49,2228
11,26,4,7,Viktor AXELSEN,長球,0,1.12612089973106,-1.54007381920651,,,1,49,2228
11,27,4,7,Kento MOMOTA,長球,0,1.35170670012432,1.63017611026625,,,1,49,2228
11,28,4,7,Viktor AXELSEN,殺球,0,1.46017754948894,-1.09992930777898,,,1,49,2228
11,29,4,7,Kento MOMOTA,接殺防守,0,1.17864141665613,0.220306844267392,,,1,49,2228
11,30,4,7,Viktor AXELSEN,挑球,0,1.17746330122741,-1.49551349169037,,,1,49,2228
11,31,4,7,Kento MOMOTA,切球,0,1.40685134767229,0.710419733778957,,,1,49,2228
11,32,4,7,Viktor AXELSEN,網前球,0,-1.58786603599236,-0.447125508594368,A,,1,49,2228
13,1,5,8,Kento MOMOTA,發短球,1,-0.517908729846668,0.50653696884892,,,1,49,2230
13,2,5,8,Viktor AXELSEN,推撲球,1,-1.21946484712844,-1.31585008719229,,,1,49,2230
13,3,5,8,Kento MOMOTA,殺球,0,-1.1976487892757,0.951116539380022,,,1,49,2230
13,4,5,8,Viktor AXELSEN,網前球,1,1.21379839087753,-0.439920323876688,,,1,49,2230
13,5,5,8,Kento MOMOTA,網前球,0,1.11278975657466,0.286798795080108,,,1,49,2230
13,6,5,8,Viktor AXELSEN,網前球,0,1.40341450090515,-0.10050822580996,,,1,49,2230
13,7,5,8,Kento MOMOTA,挑球,0,0.911317871627986,1.60548046588081,,,1,49,2230
13,8,5,8,Viktor AXELSEN,殺球,0,-1.0435480019715,-0.910175384182446,,,1,49,2230
13,9,5,8,Kento MOMOTA,接殺防守,1,-1.36742659637405,0.436002835880609,,,1,49,2230
13,10,5,8,Viktor AXELSEN,推撲球,1,-1.12630388817033,-1.43125313135117,,,1,49,2230
13,11,5,8,Kento MOMOTA,長球,0,0.509592277241026,1.89831379385941,B,,1,49,2230
15,1,7,8,Kento MOMOTA,發短球,1,0.457647018020983,0.514620702425548,,,1,49,2232
15,2,7,8,Viktor AXELSEN,網前球,1,-1.03559388679988,-0.312690364067295,,,1,49,2232
15,3,7,8,Kento MOMOTA,網前球,1,-0.720107306856116,0.134995746137429,,,1,49,2232
15,4,7,8,Viktor AXELSEN,網前球,1,-0.795682516552295,0.125257463542833,A,,1,49,2232
17,1,9,8,Kento MOMOTA,發短球,1,0.714208019662112,0.361539345983242,,,1,49,2234
17,2,9,8,Viktor AXELSEN,推撲球,1,-1.61962619283576,-1.563400265613,A,,1,49,2234
18,1,9,9,Kento MOMOTA,發短球,1,-0.645291642339091,0.24116170044198,,,1,49,2235
18,2,9,9,Viktor AXELSEN,推撲球,0,-1.32925351294958,-1.51921386613506,,,1,49,2235
18,3,9,9,Kento MOMOTA,切球,0,-1.28778508787926,0.841741510041808,,,1,49,2235
18,4,9,9,Viktor AXELSEN,網前球,1,1.25628583802365,-0.349365668583416,,,1,49,2235
18,5,9,9,Kento MOMOTA,推撲球,0,1.35908891441979,1.57447295663461,,,1,49,2235
18,6,9,9,Viktor AXELSEN,切球,0,1.25926530580883,-0.497730372254659,,,1,49,2235
18,7,9,9,Kento MOMOTA,網前球,0,0.418953867186413,0.398378827263511,,,1,49,2235
18,8,9,9,Viktor AXELSEN,挑球,0,-1.04467854482828,-1.44606229876106,,,1,49,2235
18,9,9,9,Kento MOMOTA,殺球,0,-1.1486700173469,0.943406591949707,,,1,49,2235
18,10,9,9,Viktor AXELSEN,接殺防守,1,-1.22954626064906,-0.552332602833581,,,1,49,2235
18,11,9,9,Kento MOMOTA,網前球,1,1.42598926736919,0.469626361318628,,,1,49,2235
18,12,9,9,Viktor AXELSEN,挑球,0,1.11947917563194,-1.48058170921436,,,1,49,2235
18,13,9,9,Kento MOMOTA,切球,0,1.85464825736363,0.751391108579361,B,,1,49,2235
20,1,11,9,Kento MOMOTA,發短球,1,0.534725495396391,0.398283107548624,,,1,49,2237
20,2,11,9,Viktor AXELSEN,挑球,1,1.34255449379811,-1.57064595435923,,,1,49,2237
20,3,11,9,Kento MOMOTA,平球,0,1.44743972965435,1.11507904076433,,,1,49,2237
20,4,11,9,Viktor AXELSEN,接殺防守,0,1.27969048984153,-0.509414783462142,,,1,49,2237
20,5,11,9,Kento MOMOTA,網前球,0,1.35357522998135,0.415768078149094,,,1,49,2237
20,6,11,9,Viktor AXELSEN,網前球,0,-0.912504610632559,-0.257886154146859,,,1,49,2237
20,7,11,9,Kento MOMOTA,推撲球,1,0.990878764577709,1.43354274334284,,,1,49,2237
20,8,11,9,Viktor AXELSEN,殺球,0,1.25841970389266,-1.09951396648731,,,1,49,2237
20,9,11,9,Kento MOMOTA,接殺防守,0,1.30713974564414,0.617957047718009,,,1,49,2237
20,10,11,9,Viktor AXELSEN,推撲球,0,1.2906557693051,-0.992880243805308,,,1,49,2237
20,11,11,9,Kento MOMOTA,接殺防守,0,1.39591177248581,0.513934764559069,,,1,49,2237
20,12,11,9,Viktor AXELSEN,推撲球,0,1.2880198966522,-1.3214697909349,,,1,49,2237
20,13,11,9,Kento MOMOTA,殺球,0,0.540201167025537,1.08596943222545,,,1,49,2237
20,14,11,9,Viktor AXELSEN,接殺防守,1,1.06218120858774,0.113442234525241,A,,1,49,2237
21,1,12,9,Kento MOMOTA,發短球,1,-0.567910390519767,0.390091994761725,,,1,49,2238
21,2,12,9,Viktor AXELSEN,網前球,0,1.6970655694551,-0.440652952122441,A,,1,49,2238
22,1,12,10,Kento MOMOTA,發短球,1,0.557877754202022,0.380017302332059,,,1,49,2239
22,2,12,10,Viktor AXELSEN,挑球,1,1.46689149434415,-1.40816094611034,,,1,49,2239
22,3,12,10,Kento MOMOTA,切球,0,1.39704629145117,1.07096832081637,,,1,49,2239
22,4,12,10,Viktor AXELSEN,網前球,0,1.21902539582505,-0.568107751583984,,,1,49,2239
22,5,12,10,Kento MOMOTA,網前球,0,0.369767131622833,0.549670023075221,,,1,49,2239
22,6,12,10,Viktor AXELSEN,推撲球,1,-1.10539952271884,-1.43130196674287,,,1,49,2239
22,7,12,10,Kento MOMOTA,長球,1,-0.875834578293296,1.53647373753615,,,1,49,2239
22,8,12,10,Viktor AXELSEN,切球,1,-0.619711922176479,-0.660915553852761,,,1,49,2239
22,9,12,10,Kento MOMOTA,網前球,1,0.11573402007064,0.371233059251625,,,1,49,2239
22,10,12,10,Viktor AXELSEN,網前球,0,-0.759993296297119,-0.448388374382153,,,1,49,2239
22,11,12,10,Kento MOMOTA,推撲球,1,-0.868227598369181,1.36722725028196,,,1,49,2239
22,12,12,10,Viktor AXELSEN,殺球,0,-1.33923774740451,-1.17584235926622,B,,1,49,2239
23,1,13,10,Viktor AXELSEN,發短球,1,-0.454419598092822,-0.577242590655189,,,1,49,2240
23,2,13,10,Kento MOMOTA,推撲球,1,1.09303793648035,1.52399790461751,,,1,49,2240
23,3,13,10,Viktor AXELSEN,切球,0,-1.100547292032,-0.413599643065484,,,1,49,2240
23,4,13,10,Kento MOMOTA,網前球,1,-1.16059703203787,0.193778354749428,,,1,49,2240
23,5,13,10,Viktor AXELSEN,推撲球,1,-1.20294706453296,-1.43107408264731,,,1,49,2240
23,6,13,10,Kento MOMOTA,長球,0,-1.22886083299893,1.45956965964836,,,1,49,2240
23,7,13,10,Viktor AXELSEN,殺球,0,-1.45724521347831,-1.12096961823286,,,1,49,2240
23,8,13,10,Kento MOMOTA,接殺防守,1,-1.11222132699417,0.335442337031293,,,1,49,2240
23,9,13,10,Viktor AXELSEN,網前球,1,1.22049318511877,-0.228143096620924,,,1,49,2240
23,10,13,10,Kento MOMOTA,網前球,0,1.50749914746183,0.333137707952919,,,1,49,2240
23,11,13,10,Viktor AXELSEN,挑球,0,-0.383817571104555,-1.49179049421911,,,1,49,2240
23,12,13,10,Kento MOMOTA,切球,0,0.918926534636237,0.694073316610992,,,1,49,2240
23,13,13,10,Viktor AXELSEN,網前球,0,1.18284410706308,-0.304748005313302,,,1,49,2240
23,14,13,10,Kento MOMOTA,挑球,0,1.05438534605755,1.64844233235656,,,1,49,2240
23,15,13,10,Viktor AXELSEN,長球,0,1.26197129105499,-1.49571500766229,,,1,49,2240
23,16,13,10,Kento MOMOTA,切球,0,1.15538027553294,0.73534688019772,,,1,49,2240
23,17,13,10,Viktor AXELSEN,網前球,0,0.105756331487544,-0.530955742115706,,,1,49,2240
23,18,13,10,Kento MOMOTA,挑球,1,-1.06600722792081,1.50467076211823,,,1,49,2240
23,19,13,10,Viktor AXELSEN,平球,1,-0.956251223255016,-0.846372486124597,,,1,49,2240
23,20,13,10,Kento MOMOTA,網前球,1,1.19524335483472,0.442956591903323,,,1,49,2240
23,21,13,10,Viktor AXELSEN,推撲球,0,1.19848757192651,-1.4366841549261,,,1,49,2240
23,22,13,10,Kento MOMOTA,切球,0,1.01444847094648,0.609607438681605,,,1,49,2240
23,23,13,10,Viktor AXELSEN,網前球,0,1.49971224863226,-0.206895033769626,,,1,49,2240
23,24,13,10,Kento MOMOTA,挑球,0,1.2384793329162,1.6301549122915,,,1,49,2240
23,25,13,10,Viktor AXELSEN,長球,0,-1.21654288185513,-1.56438623389756,,,1,49,2240
23,26,13,10,Kento MOMOTA,切球,1,-0.803740793222344,0.515542866089833,,,1,49,2240
23,27,13,10,Viktor AXELSEN,網前球,1,1.22457553752316,-0.428491738379062,,,1,49,2240
23,28,13,10,Kento MOMOTA,網前球,0,-0.551527209763172,0.105280525549047,A,,1,49,2240
26,1,14,12,Kento MOMOTA,發短球,1,0.277237366966053,0.315633537337764,,,1,49,2243
26,2,14,12,Viktor AXELSEN,挑球,1,0.953721139134045,-1.43611234782441,,,1,49,2243
26,3,14,12,Kento MOMOTA,長球,0,0.840953230687055,1.47264313643534,,,1,49,2243
26,4,14,12,Viktor AXELSEN,長球,0,0.522284430166251,-1.47916492068316,,,1,49,2243
26,5,14,12,Kento MOMOTA,殺球,0,-1.25264955232226,1.21604556856663,,,1,49,2243
26,6,14,12,Viktor AXELSEN,接殺防守,1,-1.36443967043446,-0.635497349217275,,,1,49,2243
26,7,14,12,Kento MOMOTA,網前球,1,1.15833300174265,0.469831788083111,,,1,49,2243
26,8,14,12,Viktor AXELSEN,挑球,0,1.18450518487147,-1.49553028361773,,,1,49,2243
26,9,14,12,Kento MOMOTA,切球,0,1.02945033963102,0.735416019998498,,,1,49,2243
26,10,14,12,Viktor AXELSEN,網前球,0,-0.182757366990748,-0.860527943877536,,,1,49,2243
26,11,14,12,Kento MOMOTA,網前球,1,-0.937019355468077,0.390399941719346,,,1,49,2243
26,12,14,12,Viktor AXELSEN,挑球,1,1.22310287018438,-1.46608267857735,,,1,49,2243
26,13,14,12,Kento MOMOTA,切球,0,1.3234796500519,0.848491911832865,,,1,49,2243
26,14,14,12,Viktor AXELSEN,網前球,0,1.23758738670238,-0.521035674695871,,,1,49,2243
26,15,14,12,Kento MOMOTA,挑球,0,-0.947540188238724,1.47254004687143,,,1,49,2243
26,16,14,12,Viktor AXELSEN,殺球,0,-1.24004250883917,-0.987892672682351,,,1,49,2243
26,17,14,12,Kento MOMOTA,接殺防守,1,-1.32274992542204,0.363284855762914,,,1,49,2243
26,18,14,12,Viktor AXELSEN,推撲球,1,1.01372597162942,-1.40711315740226,,,1,49,2243
26,19,14,12,Kento MOMOTA,切球,0,1.43958545374868,0.911405092359748,,,1,49,2243
26,20,14,12,Viktor AXELSEN,挑球,0,-1.14431154181017,-1.27360557490233,,,1,49,2243
26,21,14,12,Kento MOMOTA,長球,0,1.17269985506522,1.56819007094229,,,1,49,2243
26,22,14,12,Viktor AXELSEN,殺球,0,0.905173264396092,-1.05846532388765,,,1,49,2243
26,23,14,12,Kento MOMOTA,接殺防守,0,-1.05865127421946,0.801626507169681,,,1,49,2243
26,24,14,12,Viktor AXELSEN,推撲球,1,-1.01622638798182,-1.28798054795525,,,1,49,2243
26,25,14,12,Kento MOMOTA,殺球,0,-1.31349897550999,1.12300851766109,,,1,49,2243
26,26,14,12,Viktor AXELSEN,接殺防守,1,0.357019541165156,-1.05735507751415,,,1,49,2243
26,27,14,12,Kento MOMOTA,殺球,0,1.06175385169431,0.980911426323708,,,1,49,2243
26,28,14,12,Viktor AXELSEN,接殺防守,0,-0.844195319203964,-1.10869351227125,,,1,49,2243
26,29,14,12,Kento MOMOTA,接殺防守,1,-0.820578398703539,0.316616112723429,,,1,49,2243
26,30,14,12,Viktor AXELSEN,挑球,1,1.03762995201422,-1.43630837002628,,,1,49,2243
26,31,14,12,Kento MOMOTA,切球,0,1.33309722904232,0.592251865000013,,,1,49,2243
26,32,14,12,Viktor AXELSEN,網前球,0,1.26867921714812,-0.228207749617153,,,1,49,2243
26,33,14,12,Kento MOMOTA,挑球,0,1.13628460625882,1.59312824830356,,,1,49,2243
26,34,14,12,Viktor AXELSEN,切球,0,-1.3879869224309,-0.43597604316736,,,1,49,2243
26,35,14,12,Kento MOMOTA,網前球,1,-1.28498904251123,0.222703460572642,,,1,49,2243
26,36,14,12,Viktor AXELSEN,推撲球,1,-1.11993584946326,-1.38770867655412,,,1,49,2243
26,37,14,12,Kento MOMOTA,長球,0,-0.831851195589717,1.60518942673692,,,1,49,2243
26,38,14,12,Viktor AXELSEN,殺球,0,1.45168020611648,-0.604193792611053,,,1,49,2243
26,39,14,12,Kento MOMOTA,接殺防守,0,0.755303948610761,0.398100733792822,,,1,49,2243
26,40,14,12,Viktor AXELSEN,挑球,0,-0.852541894384279,-1.47590327415361,,,1,49,2243
26,41,14,12,Kento MOMOTA,長球,0,0.849138231236194,1.63008202140791,,,1,49,2243
26,42,14,12,Viktor AXELSEN,殺球,0,1.32677190010339,-0.876119503888037,,,1,49,2243
26,43,14,12,Kento MOMOTA,接殺防守,0,1.191348922313,0.248919757312858,,,1,49,2243
26,44,14,12,Viktor AXELSEN,網前球,0,1.27636984534522,-0.121358224773229,,,1,49,2243
26,45,14,12,Kento MOMOTA,網前球,0,-1.18931961250725,0.251179597326995,,,1,49,2243
26,46,14,12,Viktor AXELSEN,推撲球,1,-1.12742831115181,-1.34456733112492,,,1,49,2243
26,47,14,12,Kento MOMOTA,切球,0,0.684378920484839,0.592684350774487,,,1,49,2243
26,48,14,12,Viktor AXELSEN,網前球,0,1.22554198974337,-0.058632448829231,,,1,49,2243
26,49,14,12,Kento MOMOTA,挑球,0,1.37093708050875,1.56194574124582,,,1,49,2243
26,50,14,12,Viktor AXELSEN,切球,0,-1.0452206648233,-0.49412731684779,,,1,49,2243
26,51,14,12,Kento MOMOTA,挑球,1,-1.39114963929992,1.53009034030647,,,1,49,2243
26,52,14,12,Viktor AXELSEN,長球,1,-0.868433017428337,-1.43185555217141,,,1,49,2243
26,53,14,12,Kento MOMOTA,切球,0,1.25625986265015,0.505227066581886,,,1,49,2243
26,54,14,12,Viktor AXELSEN,挑球,0,1.15805552219373,-1.51031135577307,,,1,49,2243
26,55,14,12,Kento MOMOTA,切球,0,-1.00345859102678,0.453648945698288,,,1,49,2243
26,56,14,12,Viktor AXELSEN,網前球,1,-1.09932540685473,-0.368380940713251,,,1,49,2243
