id,video,homography_matrix,upleft_x,upright_x,downleft_x,downright_x,upleft_y,upright_y,downleft_y,downright_y,db
21,Viktor_AXELSEN_Jonatan_CHRISTIE_Malaysia_Open_2022_SemiFinals,"[[5.75628385955774, 3.3689406166636773, -3533.4384258348496], [0.161897342090426, 34.39951285290102, -12065.607125967148], [0.00010678030538487424, 0.01877619138465399, 1.0]]",428.0,861.0,286.6,999.2,384.8,382.8,669.8,667.0,0
22,Viktor_AXELSEN_Kento_MOMOTA_PETRONAS_Malaysia_Open_2022_Finals,"[[5.99541375212802, 3.509187609977599, -3686.0072381882896], [0.18524572115234314, 35.86429618009439, -12619.011293893751], [0.00011754125846927645, 0.019572399664431483, 1.0]]",428.4,860.6,287.4,998.6,385.6,383.4,669.8,666.6,0
23,Ratchanok_INTANON_CHEN_Yu_Fei_PETRONAS_Malaysia_Open_2022_Finals,"[[5.793460835732053, 3.3887413095370347, -3560.547317416184], [0.16076123554635155, 34.6190526831124, -12156.680664984116], [9.11723705936385e-05, 0.01889269030767649, 1.0]]",428.6,860.8,287.4,998.6,385.2,383.2,666.8,670.0,0
24,Ratchanok_INTANON_WANG_Zhi_Yi_Malaysia_Open_2022_SemiFinals,"[[5.493783769657659, 3.2067559051175287, -3367.38712433021], [0.1370445362136259, 32.787998445258154, -11488.515764855436], [8.042584489641634e-05, 0.01787547403132466, 1.0]]",427.8,861.4,286.4,999.4,384.8,383.0,667.8,670.6,0
25,Chico_Aura_DWI_WARDOYO_LU_Guang_Zu_PERODUA_Malaysia_Masters_2022_Semifinals,"[[4.602576971391821, 2.704760665377344, -2779.378364252292], [0.060475911131875185, 27.629352388905836, -9630.069842230678], [2.262817943200667e-05, 0.015081681946368511, 1.0]]",418.4,862.8,273.0,1004.4,384.6,383.6,674.6,676.6,0
26,Chico_Aura_DWI_WARDOYO_NG_Ka_Long_Angus_Malaysia_Masters_2022_Finals,"[[4.5997093078067826, 2.6978774727793886, -2773.609008091426], [0.11546596968543553, 27.416399395978125, -9558.07700958675], [9.10211998703987e-05, 0.014972195634252172, 1.0]]",418.2,863.2,272.2,1004.8,384.0,382.2,675.4,677.4,0
27,An_Se_Young_Chen_Yu_Fei_PERODUA_Malaysia_Masters_2022_Finals,"[[4.735606292960176, 2.7745177723047387, -2856.7993592898633], [0.13259510036125063, 28.274026532004754, -9877.829620724493], [0.00010509538408512503, 0.015428165252928177, 1.0]]",418.4,862.8,273.2,1004.4,384.4,382.4,674.4,676.6,0
28,AN_Se_Young_Gregoria_Mariska_TUNJUNG_Malaysia_Masters_2022_SemiFinals,"[[4.4958187537491225, 2.6348559058311687, -2708.7598568750986], [0.0976133032112257, 26.847019316025158, -9342.318505156723], [5.9921761102797266e-05, 0.014655218297745127, 1.0]]",418.2,863.2,272.4,1004.8,383.6,382.0,674.6,677.0,0
29,EAST_VENTURES_Indonesia_Open_2022_Zhao_Jun_Peng_PRANNOY_H._S._Semifinals,"[[1.6486566954689927, 0.6830052841188515, -870.2235997095946], [0.01687383509691312, 6.8184581572175516, -1624.8706092510276], [4.282745741098087e-06, 0.0039039407982757023, 1.0]]",445.4,829.4,312.2,966.8,283.6,282.6,662.4,664.8,0
30,Kunlavut_VITIDSARN_ZHAO_Jun_ Peng_BWF_World_Championships_2022_SemiFinals,"[[1.1348771511353795, 0.4755343541838247, -545.6226487700527], [-0.016389992929760414, 6.024069797561899, -1773.397639551607], [-6.287221588488147e-06, 0.0027052134942237484, 1.0]]",383.4,892.6,266.2,1012.6,343.4,344.8,677.0,674.8,0
31,Akane_YAMAGUCHI_AN_Se_Young_BWF_World_Championships_2022_Semi_finals,"[[1.1355695737048186, 0.47480698195869675, -544.888345693065], [-0.01887069534102531, 6.019430611227905, -1767.1896700462628], [-8.142629866263927e-06, 0.00271317362453306, 1.0]]",383.0,891.8,265.8,1013.0,342.8,344.4,677.6,675.2,0
32,Viktor_Axelsen_Kunlavut_Vitidsarn_BWF_World_Championships_2022_Finals,"[[1.1436849591353124, 0.4791705764277452, -550.9381375879781], [-0.016808916216595058, 6.066330140839316, -1786.5036308319554], [-7.967578412089983e-06, 0.0027310286980122443, 1.0]]",384.2,891.4,267.2,1011.6,343.4,344.8,676.4,674.4,0
33,Akane_YAMAGUCHI_CHEN_Yu_Fei_BWF_World_Championships_2022_Finals,"[[1.1324282236451775, 0.47278426519930355, -543.4594263059612], [-0.01879698993749587, 5.9971383096704045, -1761.5740886874376], [-8.064337177229728e-06, 0.0026959160905141812, 1.0]]",383.2,892.0,266.2,1012.4,343.0,344.6,677.6,675.2,0
34,Kenta_NISHIMOTO_Anders_ANTONSEN_Japan_Open_2022_SemiFinals,"[[1.2422810872449632, 0.41260327838295396, -622.2901858260547], [-0.01773737849973295, 5.759546766109932, -1840.8110265229188], [-2.0331959325647857e-05, 0.0022985475879191202, 1.0]]",419.0,861.4,946.0,331.4,368.8,370.0,680.4,680.2,0
35,Akane_YAMAGUCHI_AN_Se_Young_DAIHATSU_YONEX_Japan_Open_2022_Finals,"[[1.2639251386480665, 0.42630367753805887, -637.8591838122269], [-0.009783144034264873, 5.8614087492211295, -1882.755962273155], [-1.5257563583604367e-05, 0.002353355979102867, 1.0]]",420.4,861.4,331.4,945.6,369.6,370.2,680.2,680.6,0
36,Akane_YAMAGUCHI_CHEN_Yu_Fei_England_Open_2022_Semi_finals,"[[2.5056167082627696, 1.3039176608252465, -1412.6743235766019], [-0.07064256207303612, 15.007730870671583, -5261.699202581795], [-3.538763581911734e-05, 0.007473809938519314, 1.0]]",402.8,870.4,276.6,1001.8,391.6,393.8,682.8,679.4,0
37,Busanan_ONGBAMRUNGPHAN_Supanida_KATETHONG_India_Open_2022_Finals,"[[2.026310993462281, 1.3241669777543474, -1084.914744929607], [-0.09416452038300639, 11.507660674050154, -2631.7520855858124], [-0.00010614552939852143, 0.007771988587496254, 1.0]]",399.2,848.6,186.4,1077.8,272.0,275.4,662.0,660.6,0
38,Lakshya_SEN_LEE_Zii_Jia_All_England_Open_2022_SemiFinals,"[[2.502998081396016, 1.3095992853623921, -1416.6261143047657], [-0.08736816205691995, 15.0486015732943, -5273.980881335213], [-6.498970866195847e-05, 0.007499033439923788, 1.0]]",403.8,870.2,277.2,1000.8,391.8,394.4,681.8,679.0,0
39,Jonatan_CHRISTIE_KIDAMBI_Srikanth_Korea_Open_Badminton_Championships_2022_SemiFinals,"[[2.005016077454762, 1.0530949531000233, -1116.478299797126], [-0.018650904564660654, 9.179436145877869, -2114.7339076202443], [-8.75177895360411e-06, 0.005742160533106755, 1.0]]",448.4,832.2,281.6,986.6,273.2,274.0,648.4,646.6,0
40,Supanida_KATETHONG_PUSARLA_V._Sindhu_India_Open_2022_SemiFinals,"[[2.015446566132297, 1.3078492880309887, -1081.4939271511416], [-0.09860188774793335, 11.432368686402256, -2608.163051050501], [-0.00010726609789448855, 0.007700418369676245, 1.0]]",401.8,850.2,191.6,1078.4,271.6,275.2,660.4,658.4,0
41,Busanan_ONGBAMRUNGPHAN_Aakarshi_KASHYAP_YONEX_SUNRISE_India_Open_2022_Semifinals,"[[2.058535059415759, 1.3423413381896103, -1108.8404294000152], [-0.0794173590712203, 11.686090971380343, -2685.086262573219], [-9.214018150094286e-05, 0.007875890436965512, 1.0]]",402.4,850.8,191.2,1078.6,272.4,275.2,659.6,658.8,0
42,Lee_Zii_Jia_Li_Shi_Feng_GR_TOYOTA_GAZOO_RACING_Thailand_Open_2022_Finals,"[[1.1278799636985777, 0.4539697019464414, -537.6330972817226], [-0.01323929058172821, 6.1119185876528395, -1823.0019981884186], [-2.7332720099561718e-05, 0.0026190438999838944, 1.0]]",383.6,884.2,277.4,994.8,345.6,346.4,657.6,659.2,0
43,LI_Shi_Feng_Kodai_NARAOKAGR_Thailand_Open_2022_Semi_finals,"[[1.1162838870886547, 0.4512592924883444, -535.7490025039998], [-0.0228615131822701, 6.053607942904232, -1805.2424636507933], [-3.2286533123497085e-05, 0.002593697710098583, 1.0]]",386.2,889.2,279.0,999.8,346.4,348.0,660.8,661.4,0
44,SHI_Yu Qi_LEE_Zii_Jia_Denmark_Open_2022_Final,"[[1.7717371090988803, 0.8511285646852748, -964.6558428875122], [-0.0337325842593428, 7.608125034405032, -1635.6640034679085], [-5.349223303708538e-05, 0.004812136439890747, 1.0]]",453.6,828.6,292.4,988.4,261.0,262.4,658.4,656.6,0
45,LEE_Zii_Jia_LIEW_Daren_Thailand_Open_2022_SemiFinals_Trim,"[[0.7225166626659919, 0.22917305367741891, -282.8882675934239], [-0.00090059042258145, 3.148505303030927, -604.9016992592883], [8.149656276657582e-06, 0.0012957922813282697, 1.0]]",361.0,917.6,248.6,1032.0,255.8,256.2,675.0,677.8,0
46,Lee_Zii_Jia_Loh_Kean_Yew_Denmark_Open_2022_Semifinals,"[[1.8177475180823501, 0.8751628398977066, -993.2040496072611], [-0.028585832493295785, 7.808195651124831, -1697.3512005507487], [-3.936850512837629e-05, 0.004930010452485091, 1.0]]",454.2,828.2,293.8,986.8,262.8,264.0,657.0,656.4,0
47,HE_Bing_Jiao_CHEN_Yu_Fei_Denmark_Open_2022_Final,"[[1.7610911819951016, 0.8470749276470257, -959.0000905010281], [-0.04582660126281603, 7.578498629535338, -1626.8255328281095], [-6.183308143540944e-05, 0.0047850408011351165, 1.0]]",453.4,828.8,292.4,988.0,261.4,263.4,657.0,657.8,0
48,CHEN_Yu_Fei_Ratchanok_INTANON_Denmark_Open_2022_SemiFinals,"[[1.818183106691472, 0.8779309366122995, -993.8988908887047], [-0.02028883843804634, 7.8100126022075695, -1699.7348584623494], [-3.4547582230136905e-05, 0.00493305495448094, 1.0]]",454.2,828.6,293.0,987.0,262.6,263.4,656.0,657.4,0
49,HE_Bing_Jiao_Carolina_MARIN_French_Open_2022_Final,"[[2.749028763805865, 1.4005159909436278, -1605.4207823809245], [0.050138976893706444, 10.78670942167197, -2129.6447642901107], [4.707810258220123e-05, 0.007788276964656058, 1.0]]",492.8,805.4,311.0,982.4,234.8,233.4,653.8,655.6,0
50,Viktor_AXELSEN_Rasmus_GEMKE_French_Open_2022 _Finals,"[[2.654513138424582, 1.3541592841450052, -1551.2338203007803], [0.017557032550436554, 10.472879270269337, -2047.8966580120837], [-2.299430980281234e-06, 0.0075591296830984905, 1.0]]",493.4,806.4,311.4,983.4,234.4,233.8,652.6,655.6,0
51,Viktor_AXELSEN_Kodai_NARAOKA_YONEX_French_Open_2022_Semifinals,"[[2.6464159173542465, 1.346445431054304, -1528.160385274654], [-0.012346824392822791, 10.448595276269657, -2057.5227122707333], [-4.251439980491897e-05, 0.007531938739143504, 1.0]]",485.4,797.6,304.2,973.4,237.2,237.4,654.6,658.0,0
52,SHI_Yu_Qi_Kodai_NARAOKA_Denmark_Open_2022_SemiFinals,"[[1.7919612376964404, 0.8601757102280404, -976.831972269966], [-0.024251655556263685, 7.6893189864785105, -1665.6798254830412], [-3.797096032294923e-05, 0.00484735448468499, 1.0]]",453.8,829.0,293.4,987.6,262.0,263.0,656.2,657.4,0
53,AN_Se_Young_Pornpawee_CHOCHUWONG_Korea_Open_Badminton_Championships_2022_Finals,"[[2.0054546246761134, 1.0522918342633663, -1116.092490405858], [-0.012713027789638568, 9.180998750303846, -2121.60051274594], [1.9098037533232425e-06, 0.005713865158664253, 1.0]]",448.0,832.2,282.2,984.6,273.6,274.2,647.0,644.8,0
54,Carolina_MARIN_Akane_YAMAGUCHI_French_Open_2022_SemiFinals,"[[2.728559154790343, 1.3873333578528748, -1576.4581680706688], [0.03274926231011658, 10.745722884721154, -2136.3292521811154], [1.4062558949991172e-05, 0.007743795332140536, 1.0]]",485.8,798.6,304.8,975.0,237.0,236.0,654.0,657.2,0
55,Viktor_AXELSEN_ZHAO_Jun_Peng_Indonesia_Open_2022_Final,"[[1.685702299029616, 0.6966888326048883, -897.7602194703412], [0.0012278268405882908, 6.976485271321307, -1665.668890614626], [-1.4336483538529749e-05, 0.00398411536270343, 1.0]]",449.6,827.2,319.0,961.4,284.4,284.2,659.2,657.0,0
56,Rasmus_GEMKE_LEE_Cheuk_Yiu_French_Open_2022_SemiFinals,"[[1.1280560671906983, 0.46240028226451285, -545.9480284316385], [0.022441706087868826, 3.861660752610907, -334.4588932748882], [3.58024780587449e-05, 0.002552725789856504, 1.0]]",461.0,827.8,286.2,997.4,137.0,135.2,641.6,639.0,0
57,CHEN_Yu_Fei_PUSARLA_V._Sindhu_Thailand_Open_2022_SemiFinals,"[[1.1264445365903164, 0.45252728075785226, -540.5163466061629], [-0.016975372556019396, 6.0909070535329874, -1821.6201502818283], [-2.2325609700005154e-05, 0.002603581785933404, 1.0]]",386.6,888.6,280.4,999.0,346.8,348.0,660.6,660.8,0
58,Anthony_Sinisuka_Ginting_Rasmus_Gemke_YONEX_Thailand_Open_2021_QuarterFinals,"[[1.2127348915472842, 0.4724871702826476, -591.308280335244], [-0.02487296478672235, 5.6941586133894075, -1442.9978959427135], [-2.5826753017045172e-05, 0.002791443230716878, 1.0]]",410.8,863.0,295.6,990.4,303.6,305.4,656.6,657.4,0
